Tranche d'âge,quartiers,population_count,arrondissements,secteur
6-10 ans,LA CROIX ROUGE,402,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LA CROIX ROUGE,724,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LA CROIX ROUGE,994,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LA CROIX ROUGE,1409,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LA CROIX ROUGE,1266,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LA CROIX ROUGE,926,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LA CROIX ROUGE,787,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LA CROIX ROUGE,300,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,MALPASSÉ,414,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,MALPASSÉ,413,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,MALPASSÉ,752,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,MALPASSÉ,1078,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,MALPASSÉ,987,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,MALPASSÉ,1694,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,MALPASSÉ,1741,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,MALPASSÉ,1170,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,MALPASSÉ,1188,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,MALPASSÉ,504,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LES MÉDECINS,35,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LES MÉDECINS,43,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LES MÉDECINS,86,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LES MÉDECINS,127,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LES MÉDECINS,80,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LES MÉDECINS,182,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LES MÉDECINS,333,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LES MÉDECINS,164,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LES MÉDECINS,238,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LES MÉDECINS,99,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LES MOURETTES,36,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LES MOURETTES,51,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LES MOURETTES,83,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LES MOURETTES,117,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LES MOURETTES,117,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LES MOURETTES,201,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LES MOURETTES,387,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LES MOURETTES,272,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LES MOURETTES,317,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LES MOURETTES,223,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LES OLIVES,609,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LES OLIVES,633,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LES OLIVES,1261,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LES OLIVES,1257,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LES OLIVES,1254,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LES OLIVES,2732,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LES OLIVES,2814,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LES OLIVES,2000,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LES OLIVES,2172,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LES OLIVES,933,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,PALAMA,86,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,PALAMA,75,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,PALAMA,142,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,PALAMA,205,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,PALAMA,149,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,PALAMA,340,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,PALAMA,438,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,PALAMA,318,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,PALAMA,570,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,PALAMA,204,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LA ROSE,569,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LA ROSE,568,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LA ROSE,1038,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LA ROSE,1459,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LA ROSE,1309,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LA ROSE,2237,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LA ROSE,2345,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LA ROSE,1539,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LA ROSE,1626,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LA ROSE,875,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,SAINT JÉROME,274,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,SAINT JÉROME,281,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,SAINT JÉROME,541,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,SAINT JÉROME,829,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,SAINT JÉROME,1669,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,SAINT JÉROME,1781,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,SAINT JÉROME,1583,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,SAINT JÉROME,1126,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,SAINT JÉROME,931,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,SAINT JÉROME,386,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,SAINT JUST,83,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,SAINT JUST,130,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,SAINT JUST,1063,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,SAINT JUST,1364,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,SAINT JUST,1374,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,SAINT JUST,3157,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,SAINT JUST,2748,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,SAINT JUST,1651,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,SAINT JUST,1764,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,SAINT JUST,846,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,SAINT MITRE,289,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,SAINT MITRE,311,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,SAINT MITRE,845,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,SAINT MITRE,867,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,SAINT MITRE,633,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,SAINT MITRE,1507,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,SAINT MITRE,1572,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,SAINT MITRE,1439,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,SAINT MITRE,1267,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,SAINT MITRE,445,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LES ARNAVAUX,283,14ÈME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LES ARNAVAUX,357,14ÈME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LES ARNAVAUX,537,14ÈME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LES ARNAVAUX,653,14ÈME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LES ARNAVAUX,486,14ÈME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LES ARNAVAUX,1072,14ÈME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LES ARNAVAUX,985,14ÈME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LES ARNAVAUX,507,14ÈME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LES ARNAVAUX,498,14ÈME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LES ARNAVAUX,244,14ÈME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,BON SECOURS,367,14ÈME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,BON SECOURS,283,14ÈME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,BON SECOURS,620,14ÈME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,BON SECOURS,640,14ÈME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,BON SECOURS,625,14ÈME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,BON SECOURS,1589,14ÈME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,BON SECOURS,2117,14ÈME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,BON SECOURS,1185,14ÈME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,BON SECOURS,1194,14ÈME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,BON SECOURS,378,14ÈME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LE CANET,361,14ÈME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LE CANET,405,14ÈME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LE CANET,660,14ÈME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LE CANET,833,14ÈME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LE CANET,674,14ÈME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LE CANET,1649,14ÈME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LE CANET,1371,14ÈME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LE CANET,887,14ÈME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LE CANET,838,14ÈME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LE CANET,305,14ÈME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LE MERLAN,389,14ÈME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LE MERLAN,443,14ÈME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LE MERLAN,691,14ÈME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LE MERLAN,837,14ÈME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LE MERLAN,1044,14ÈME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LE MERLAN,1794,14ÈME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LE MERLAN,1537,14ÈME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LE MERLAN,1219,14ÈME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LE MERLAN,1199,14ÈME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LE MERLAN,417,14ÈME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,SAINT BARTHÉLÉMY,852,14ÈME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,SAINT BARTHÉLÉMY,953,14ÈME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,SAINT BARTHÉLÉMY,1586,14ÈME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,SAINT BARTHÉLÉMY,1979,14ÈME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,SAINT BARTHÉLÉMY,1546,14ÈME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,SAINT BARTHÉLÉMY,3058,14ÈME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,SAINT BARTHÉLÉMY,2763,14ÈME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,SAINT BARTHÉLÉMY,1751,14ÈME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,SAINT BARTHÉLÉMY,1455,14ÈME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,SAINT BARTHÉLÉMY,524,14ÈME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,SAINT JOSEPH,189,14ÈME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,SAINT JOSEPH,218,14ÈME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,SAINT JOSEPH,276,14ÈME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,SAINT JOSEPH,377,14ÈME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,SAINT JOSEPH,342,14ÈME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,SAINT JOSEPH,875,14ÈME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,SAINT JOSEPH,829,14ÈME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,SAINT JOSEPH,493,14ÈME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,SAINT JOSEPH,532,14ÈME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,SAINT JOSEPH,336,14ÈME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,SAINTE MARTHE,298,14ÈME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,SAINTE MARTHE,252,14ÈME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,SAINTE MARTHE,401,14ÈME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,SAINTE MARTHE,471,14ÈME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,SAINTE MARTHE,567,14ÈME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,SAINTE MARTHE,1422,14ÈME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,SAINTE MARTHE,1071,14ÈME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,SAINTE MARTHE,564,14ÈME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,SAINTE MARTHE,497,14ÈME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,SAINTE MARTHE,170,14ÈME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LES AYGALADES,229,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,LES AYGALADES,307,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,LES AYGALADES,617,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,LES AYGALADES,768,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,LES AYGALADES,662,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,LES AYGALADES,1035,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,LES AYGALADES,1080,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,LES AYGALADES,668,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,LES AYGALADES,499,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,LES AYGALADES,317,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,LES BORELS,58,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,LES BORELS,76,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,LES BORELS,138,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,LES BORELS,226,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,LES BORELS,231,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,LES BORELS,375,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,LES BORELS,431,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,LES BORELS,325,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,LES BORELS,312,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,LES BORELS,67,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,LA CABUCELLE,407,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,LA CABUCELLE,412,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,LA CABUCELLE,821,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,LA CABUCELLE,768,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,LA CABUCELLE,877,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,LA CABUCELLE,1456,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,LA CABUCELLE,1686,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,LA CABUCELLE,798,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,LA CABUCELLE,842,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,LA CABUCELLE,265,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,LA CALADE,308,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,LA CALADE,331,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,LA CALADE,498,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,LA CALADE,708,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,LA CALADE,614,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,LA CALADE,1470,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,LA CALADE,1218,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,LA CALADE,711,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,LA CALADE,746,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,LA CALADE,243,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,LES CROTTES,180,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,LES CROTTES,126,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,LES CROTTES,290,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,LES CROTTES,350,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,LES CROTTES,400,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,LES CROTTES,917,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,LES CROTTES,744,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,LES CROTTES,322,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,LES CROTTES,288,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,LES CROTTES,68,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,LA DELORME,268,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,LA DELORME,352,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,LA DELORME,488,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,LA DELORME,881,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,LA DELORME,861,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,LA DELORME,1976,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,LA DELORME,1143,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,LA DELORME,662,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,LA DELORME,726,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,LA DELORME,278,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,NOTRE DAME LIMITE,403,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,NOTRE DAME LIMITE,442,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,NOTRE DAME LIMITE,826,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,NOTRE DAME LIMITE,1420,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,NOTRE DAME LIMITE,1435,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,NOTRE DAME LIMITE,3105,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,NOTRE DAME LIMITE,2203,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,NOTRE DAME LIMITE,1229,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,NOTRE DAME LIMITE,1032,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,NOTRE DAME LIMITE,433,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,SAINT ANTOINE,303,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,SAINT ANTOINE,302,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,SAINT ANTOINE,505,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,SAINT ANTOINE,876,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,SAINT ANTOINE,587,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,SAINT ANTOINE,1528,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,SAINT ANTOINE,1374,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,SAINT ANTOINE,931,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,SAINT ANTOINE,899,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,SAINT ANTOINE,381,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,SAINT LOUIS,808,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,SAINT LOUIS,683,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,SAINT LOUIS,962,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,SAINT LOUIS,1128,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,SAINT LOUIS,973,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,SAINT LOUIS,2173,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,SAINT LOUIS,2060,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,SAINT LOUIS,994,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,SAINT LOUIS,999,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,SAINT LOUIS,375,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,VERDURON,345,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,VERDURON,345,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,VERDURON,617,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,VERDURON,1072,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,VERDURON,931,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,VERDURON,2087,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,VERDURON,1651,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,VERDURON,820,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,VERDURON,888,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,VERDURON,313,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,LA VISTE,301,15EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,LA VISTE,336,15EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,LA VISTE,397,15EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,LA VISTE,798,15EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,LA VISTE,538,15EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,LA VISTE,1398,15EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,LA VISTE,1267,15EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,LA VISTE,641,15EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,LA VISTE,604,15EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,LA VISTE,277,15EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,L'ESTAQUE,162,16EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,L'ESTAQUE,204,16EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,L'ESTAQUE,368,16EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,L'ESTAQUE,477,16EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,L'ESTAQUE,375,16EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,L'ESTAQUE,942,16EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,L'ESTAQUE,1280,16EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,L'ESTAQUE,821,16EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,L'ESTAQUE,755,16EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,L'ESTAQUE,424,16EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,LES RIAUX,24,16EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,LES RIAUX,34,16EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,LES RIAUX,56,16EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,LES RIAUX,95,16EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,LES RIAUX,50,16EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,LES RIAUX,150,16EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,LES RIAUX,151,16EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,LES RIAUX,70,16EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,LES RIAUX,71,16EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,LES RIAUX,21,16EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,SAINT ANDRE,124,16EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,SAINT ANDRE,134,16EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,SAINT ANDRE,244,16EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,SAINT ANDRE,303,16EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,SAINT ANDRE,333,16EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,SAINT ANDRE,556,16EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,SAINT ANDRE,717,16EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,SAINT ANDRE,595,16EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,SAINT ANDRE,518,16EME ARRONDISSEMENT,8EME SECTEUR
80 ans ou plus,SAINT ANDRE,215,16EME ARRONDISSEMENT,8EME SECTEUR
0-2 ans,SAINT HENRI,162,16EME ARRONDISSEMENT,8EME SECTEUR
3-5 ans,SAINT HENRI,197,16EME ARRONDISSEMENT,8EME SECTEUR
6-10 ans,SAINT HENRI,343,16EME ARRONDISSEMENT,8EME SECTEUR
11-17 ans,SAINT HENRI,458,16EME ARRONDISSEMENT,8EME SECTEUR
18-24 ans,SAINT HENRI,428,16EME ARRONDISSEMENT,8EME SECTEUR
25-39 ans,SAINT HENRI,760,16EME ARRONDISSEMENT,8EME SECTEUR
40-54 ans,SAINT HENRI,1047,16EME ARRONDISSEMENT,8EME SECTEUR
55-64 ans,SAINT HENRI,726,16EME ARRONDISSEMENT,8EME SECTEUR
65-79 ans,SAINT HENRI,697,16EME ARRONDISSEMENT,8EME SECTEUR
